index,for,,0
Ballpark Franks,0,0,515.0
Ballpark Franks,0,1,661.0
Ballpark Franks,0,2,816.0
Ballpark Franks,0,3,979.0
Ballpark Franks,0,4,395.0
Ballpark Franks,0,5,770.0
Ballpark Franks,0,6,777.0
Ballpark Franks,0,7,923.0
Ballpark Franks,0,8,854.0
Ballpark Franks,0,9,868.0
Ballpark Franks,0,10,1029.0
Ballpark Franks,0,11,835.0
Ballpark Franks,0,12,899.0
Ballpark Franks,0,13,515.0
Ballpark Franks,0,14,0.0
Ballpark Franks,0,15,0.0
Ballpark Franks,0,16,0.0
Ballpark Franks,1,0,531.0
Ballpark Franks,1,1,535.0
Ballpark Franks,1,2,838.0
Ballpark Franks,1,3,803.0
Ballpark Franks,1,4,697.0
Ballpark Franks,1,5,776.0
Ballpark Franks,1,6,833.0
Ballpark Franks,1,7,743.0
Ballpark Franks,1,8,791.0
Ballpark Franks,1,9,861.0
Ballpark Franks,1,10,871.0
Ballpark Franks,1,11,934.0
Ballpark Franks,1,12,734.0
Ballpark Franks,1,13,531.0
Ballpark Franks,1,14,0.0
Ballpark Franks,1,15,0.0
Ballpark Franks,1,16,0.0
Boban  Marjanovic ,0,0,801.0
Boban  Marjanovic ,0,1,535.0
Boban  Marjanovic ,0,2,804.0
Boban  Marjanovic ,0,3,821.0
Boban  Marjanovic ,0,4,552.0
Boban  Marjanovic ,0,5,650.0
Boban  Marjanovic ,0,6,846.0
Boban  Marjanovic ,0,7,552.0
Boban  Marjanovic ,0,8,791.0
Boban  Marjanovic ,0,9,885.0
Boban  Marjanovic ,0,10,890.0
Boban  Marjanovic ,0,11,978.0
Boban  Marjanovic ,0,12,751.0
Boban  Marjanovic ,0,13,801.0
Boban  Marjanovic ,0,14,0.0
Boban  Marjanovic ,0,15,0.0
Boban  Marjanovic ,0,16,0.0
Boban  Marjanovic ,1,0,530.0
Boban  Marjanovic ,1,1,661.0
Boban  Marjanovic ,1,2,787.0
Boban  Marjanovic ,1,3,873.0
Boban  Marjanovic ,1,4,803.0
Boban  Marjanovic ,1,5,826.0
Boban  Marjanovic ,1,6,779.0
Boban  Marjanovic ,1,7,801.0
Boban  Marjanovic ,1,8,854.0
Boban  Marjanovic ,1,9,600.0
Boban  Marjanovic ,1,10,691.0
Boban  Marjanovic ,1,11,1092.0
Boban  Marjanovic ,1,12,944.0
Boban  Marjanovic ,1,13,530.0
Boban  Marjanovic ,1,14,0.0
Boban  Marjanovic ,1,15,0.0
Boban  Marjanovic ,1,16,0.0
Double Pandemic P,0,0,531.0
Double Pandemic P,0,1,645.0
Double Pandemic P,0,2,787.0
Double Pandemic P,0,3,878.0
Double Pandemic P,0,4,811.0
Double Pandemic P,0,5,717.0
Double Pandemic P,0,6,833.0
Double Pandemic P,0,7,547.0
Double Pandemic P,0,8,939.0
Double Pandemic P,0,9,600.0
Double Pandemic P,0,10,851.0
Double Pandemic P,0,11,1195.0
Double Pandemic P,0,12,841.0
Double Pandemic P,0,13,531.0
Double Pandemic P,0,14,0.0
Double Pandemic P,0,15,0.0
Double Pandemic P,0,16,0.0
Double Pandemic P,1,0,515.0
Double Pandemic P,1,1,500.0
Double Pandemic P,1,2,804.0
Double Pandemic P,1,3,950.0
Double Pandemic P,1,4,693.0
Double Pandemic P,1,5,718.0
Double Pandemic P,1,6,777.0
Double Pandemic P,1,7,797.0
Double Pandemic P,1,8,896.0
Double Pandemic P,1,9,885.0
Double Pandemic P,1,10,659.0
Double Pandemic P,1,11,967.0
Double Pandemic P,1,12,765.0
Double Pandemic P,1,13,515.0
Double Pandemic P,1,14,0.0
Double Pandemic P,1,15,0.0
Double Pandemic P,1,16,0.0
Frankpark Balls,0,0,663.0
Frankpark Balls,0,1,500.0
Frankpark Balls,0,2,696.0
Frankpark Balls,0,3,873.0
Frankpark Balls,0,4,624.0
Frankpark Balls,0,5,854.0
Frankpark Balls,0,6,585.0
Frankpark Balls,0,7,743.0
Frankpark Balls,0,8,896.0
Frankpark Balls,0,9,606.0
Frankpark Balls,0,10,691.0
Frankpark Balls,0,11,1012.0
Frankpark Balls,0,12,975.0
